text|source|chunk_id
"Iranian President Ebrahim Raisi was killed in a helicopter crash on Sunday, depriving Supreme Leader Ayatollah Ali Khamenei of a longtime ally as Tehran angles for regional dominance through armed militias that are fighting the U.S. and Israel.

Raisi’s death was announced early Monday, after state television reported Sunday afternoon that a helicopter carrying him and Foreign Minister Hossein Amir-Abdollahian had made a “difficult landing” in northwestern Iran.

Hours after Raisi’s death was confirmed, Khamenei announced five days of national mourning and appointed Mohammad Mokhber, first vice president, as the new head of the executive branch.

Ali Bagheri-Kani,..."|data_input/center/doc_001.txt|6756758b6fdb47ce97d4175a1558def0
"Republican presidential candidate Donald Trump accused Democratic rival President Joe Biden of running a ""Gestapo administration"" in a private address to donors in which he also attacked prosecutors involved in his criminal indictments, according to a recording heard by U.S. media outlets.

Trump, whose own rhetoric has drawn accusations of fascist tendencies from civil rights groups and other critics, made the comparison with the Nazi police in Germany's World War Two regime at a donor retreat Saturday night at his Mar-a-Lago resort in Palm Beach, Florida.

The comments came after Trump reprised his complaint..."|data_input/center/doc_004.txt|f044921e97ae442ea9ad8daf6ba19a88
"President Joe Biden slammed the U.S. Supreme Court as ""out of kilter"" at a glitzy fundraiser in Los Angeles on Saturday with former President Barack Obama and top Hollywood celebrities that has raised over $30 million.

Late-night TV host Jimmy Kimmel began by showing a video montage contrasting Biden's record with that of his predecessor and current Republican challenger Donald Trump. He drew cheers from the audience at a packed Peacock Theater in downtown Los Angeles, where Hollywood celebrities George Clooney and Julia Roberts were among the guests.

Biden, a Democrat who has frequently denounced specific..."|data_input/center/doc_007.txt|3c67c3a06fc847e2829166e24f29f343
"Education Secretary Miguel Cardona confirmed this week that the Department of Education is preparing to restart student loan payments later this year.

“The emergency period is over, and we’re preparing our borrowers to restart,” Cardona said at a Senate Appropriations hearing on Thursday, as the national COVID-19 public health emergency was set to expire at midnight.

Cardona reiterated that the Biden administration plans to restart student loan payments no later than 60 days after June 30, despite some speculation that the pause would be extended for a 10th time.

The timing hinges on the..."|data_input/center/doc_010.txt|44e63896c45b4820a554cd23d47d55de
"As Russia threatens the largest land invasion in Europe since World War II, the most consequential strategic question of the 21st century is becoming clear: How can the United States manage two revisionist, autocratic, nuclear-armed great powers (Russia and China) simultaneously? The answer, according to many politicians and defense experts, is that Washington must moderate its response to Russia in Europe to focus on the greater threat posed by China in the Indo-Pacific.

This would be a mistake.

The United States remains the world’s leading power with global interests, and it cannot afford..."|data_input/center/doc_013.txt|299e0341f411406abc97fbe31fd76851
"The Biden administration will allow certain undocumented immigrants married to U.S. citizens to stay in the country and work legally, expanding a program that’s currently used to provide papers to immediate family of military servicemembers.

The Tuesday morning announcement comes amid the 12-year anniversary celebration of the Deferred Action for Childhood Arrivals (DACA) program, which President Biden will celebrate at the White House later in the day with immigrant advocacy and Latino leaders.

Biden’s move comes weeks after the administration adopted a crackdown on asylum at the U.S.-Mexico border that angered the same groups the new..."|data_input/center/doc_016.txt|55d69b518d3e4d779f1f81052eea0f0f
"Republicans pushed Democrats out of the Virginia governorship and had a far stronger-than-expected showing in heavily Democratic New Jersey on Wednesday, signaling trouble for President Joe Biden's party heading into next year's congressional elections.

Republican Glenn Youngkin, a former private equity executive, claimed victory over Democratic former Governor Terry McAuliffe in Tuesday's vote after distancing himself just enough from former President Donald Trump to win back moderates who had supported Biden just a year ago.

In New Jersey, Republican challenger Jack Ciattarelliperformed far better than expected against incumbent Democrat Phil Murphy,even..."|data_input/center/doc_019.txt|de088c8be9224959b6f204cbed6a6d02
"WASHINGTON—The legal team representing the Central Intelligence Agency officer behind the complaint that helped spark an impeachment inquiry into President Trump is now advising “multiple whistleblowers,” the attorneys said Sunday.

The existence of at least one additional whistleblower could complicate President Trump’s efforts to counter the impeachment proceedings building against him in Congress. Mr. Trump repeatedly has sought to attack the credibility and motive of the first individual who filed a formal whistleblower complaint in August.

“I can confirm that my firm and my team represent multiple whistleblowers,” Andrew Bakaj,..."|data_input/center/doc_022.txt|b2d9984d2b8b493682a50a8af170fc5e
Facebook apologized for mistakenly censoring a real photo of a bloodied Donald Trump post-assassination attempt, after initially targeting doctored images showing Secret Service agents smiling. The error occurred during an effort to remove a manipulated photo meant to spread misinformation. Facebook, owned by Meta, rectified the mistake, affirming the authenticity of the original photo captured by an Associated Press photographer, depicting Trump raising his fist after being shot. Meta’s action followed scrutiny and a fact-check confirming no agents were smiling, aimed at cleaning up misinformation on its platform.|data_input/center/doc_025.txt|4145e0d69fa641c391dbaeecdf45ad87
"Some social media users frustrated with the recent leaked opinion from the Supreme Court regarding the potential overturn of Roe v. Wade have called for a Mother's Day Strike.

On Tuesday a leaked draft opinion showed the Supreme Court was preparing to strike down Roe v. Wade, the 1973 landmark ruling that guarantees abortion rights.

Such a bombshell ruling could instantly make abortion illegal in at least 13 states with legal access to abortion varying widely across the country.

Following the leak, many people took to the streets to protest outside the Supreme Court in Washington. And now, multiple people..."|data_input/center/doc_028.txt|4088ca0e00b94d6f9bfe9ace86bc4cfe
"U.S. intelligence agencies signal that Russian President Vladimir Putin may not have planned for Alexei Navalny to have died when he did, a new report said.

The Wall Street Journal report said U.S. agencies have determined that Putin likely didn’t order Navalny to be killed in February, but it doesn’t entirely excuse him from responsibility.

The determination has been shared and agreed upon by officials at the Central Intelligence Agency, the Office of the Director of National Intelligence and the State Department’s intelligence unit.

Navalny, a Russian opposition leader, rose to prominence for..."|data_input/center/doc_031.txt|e46683e37d2d4fb1a01e2e851c525cc2
"After a far-left group set an electricity transmission tower near Tesla’s only German factory ablaze on Tuesday, the facility lost all power and was forced to halt production.

That pause was initially expected to last until next Monday, March 11. But now Tesla expects production to be suspended until the end of next week, Bild reports, due to issues repairing the sabotaged 30-meter tower.

Gigafactory Berlin-Brandenburg’s senior director, Andre Thierig, said Tuesday that he expects the incident to cost a “high nine-figure amount.” But that was when production was planned to resume on..."|data_input/center/doc_034.txt|30c9e796c4584bb79ca68931267eb127
"Fulton County, Ga., District Attorney Fani Willis (D) acknowledged developing a “personal relationship” with the top prosecutor in former President Trump’s Georgia criminal case in a new court filing Friday, but she said it was no reason for her to step aside.

Trump co-defendant Michael Roman last month first accused Willis and special prosecutor Nathan Wade of having romantic ties, claiming it rendered the far-reaching Georgia election interference indictment “fatally defective.”

Wills responded to those accusations in court filings on Friday, writing that the motion is “salacious” and “designed to obtain” media attention. She offered a forceful defense of Wade as “a leader more..."|data_input/center/doc_037.txt|458392c7d7054cb79d5ef96fe4568695
"The Biden administration plans to require employers to give workers shaded rest areas and water when temperatures soar, part of a proposed rule that comes as temperature records fall nationwide—as some states have prevented local governments from providing similar protections in recent months.

Under proposed regulations for the Occupational Safety and Health Administration, employers in the U.S. will be required to monitor their workers and provide access to shade, water and rest breaks, the White House said.

The new protections will be required when the heat index—what the temperature feels like with added humidity—reaches 80..."|data_input/center/doc_040.txt|dc83d359877f411f91b50cebea78793e
"A federal judge on Friday rejected former President Trump’s argument that he is immune in his 2020 election subversion criminal case, while also denying his other constitutional defenses.

“Whatever immunities a sitting President may enjoy, the United States has only one Chief Executive at a time, and that position does not confer a lifelong ‘get-out-of-jail-free’ pass, Former Presidents enjoy no special conditions on their federal criminal liability,” U.S. District Judge Tanya Chutkan wrote in the 48-page ruling.

“Defendant may be subject to federal investigation, indictment, prosecution, conviction, and punishment for any..."|data_input/center/doc_043.txt|29f2281686dc4f18bacaf8cb28fbb076
"With the removal of the federal mask mandate on public transportation, whether and when to mask has become largely a personal choice.

Changes in the trajectory and impacts of the Covid-19 pandemic and shifts in messaging from authorities can make the decision harder.

Although much of the U.S. no longer requires people to wear masks in indoor public settings, there are still scenarios where wearing a mask could be beneficial, public-health and infectious-disease experts say. Factors that help determine whether you should consider masking include local Covid-19 levels, where you are going and your underlying health conditions, as well..."|data_input/center/doc_046.txt|6ec787d9e82d48d49d3ca76b49812428
"Twitter permanently suspended an account belonging to Project Veritas on Thursday, citing repeat violations of the site's policies against publishing private information.

A Twitter spokesperson confirmed to The Hill that the main Project Veritas account was permanently suspended, while founder James O'Keefe had his account temporarily locked. Several recent tweets on O'Keefe's timeline appeared to have been deleted by Thursday afternoon.

Twitter did not immediately return a request for comment regarding private information shared by Veritas and O'Keefe.

Founded in 2010, Project Veritas is a right-wing group that routinely published..."|data_input/center/doc_049.txt|1fda403fe32c4faab718b513ccda9e4a
"The US has charged and sanctioned Russian state media executives and restricted Kremlin-linked broadcasters as it accused Moscow of a widespread campaign to interfere with the presidential election.

The justice, state and treasury departments announced coordinated actions on Wednesday to ""aggressively counter"" the alleged operations.

Attorney General Merrick Garland accused state broadcaster RT, formerly Russia Today, of paying a Tennessee firm $10m to ""create and distribute content to US audiences with hidden Russian government messaging"".

RT boss Margarita Simonyan was one of 10 people sanctioned for alleged attempts to harm..."|data_input/center/doc_052.txt|474aa9b53da7427b8344d2fd9b71cdb9
"Elon Musk’s aggressive push against a stopgap measure to prevent a government shutdown received mixed reactions from House Republicans, even as it seemingly ended in success with President-elect Trump and Vice President-elect Vance announcing their own opposition to the measure.

Musk and Vivek Ramaswamy, the co-leaders of Trump’s “Department of Government Efficiency” (DOGE), fired off a series of posts online Wednesday railing against the more than 1,500-page stopgap spending deal released just days ahead of the Dec. 20 shutdown deadline.

The tech entrepreneurs argued the deal goes against the goals of their DOGE panel,..."|data_input/center/doc_055.txt|47c15bde3df74e6090d2a49ed19a32c1
"The Supreme Court on Monday turned down two requests to block New York’s vaccine mandate for health care workers. Two groups of health care workers are challenging the mandate, arguing that it violates their constitutional right to freely exercise their religion. But over the public dissents of three conservative justices, the court denied the workers’ requests to put the mandate on hold while litigation continues.

The dispute centers on a regulation issued by New York’s state health department that requires all health care workers in the state to be vaccinated against COVID-19 unless..."|data_input/center/doc_058.txt|1fd9648161d14f19ad3fe05b81cf7587
"New House Oversight and Accountability Committee Chairman James Comer (R-Ky.) on Wednesday launched the GOP’s long-awaited investigation into President Biden and his family’s finances, requesting information from the Treasury Department.

Comer sent a letter to Treasury Secretary Janet Yellen asking for documents and information on Biden’s family businesses, including any suspicious activity reports (SARs) generated by banks in relation to the Biden family. Comer said in the letter that his committee is investigating Biden’s involvement in his family’s “foreign business practices and international influence peddling schemes.”

Republicans have been preparing to..."|data_input/center/doc_061.txt|64bbce521f7c43ec8a833a27da163139
